brand,price,old,brake,drivetrain,material
자이언트 ,3200000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
캐논데일 ,2500000,2015,림 브레이크,SHIMANO DURA-ACE,카본
캐논데일 ,1100000,2012,림 브레이크,SHIMANO 105,카본
기타 ,3300000,2012,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,6450000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,2200000,2020,디스크 브레이크,SHIMANO 105,카본
비앙키 ,9000000,2020,림 브레이크,기타,카본
코메트 ,1300000,2021,디스크 브레이크,SHIMANO 105,카본
자이언트 ,2500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,7300000,2020,디스크 브레이크,SRAM RED eTap AXS,카본
자이언트 ,2800000,2021,디스크 브레이크,기타,카본
스톡 ,3000000,2016,림 브레이크,SHIMANO ULTEGRA,카본
캐논데일 ,1150000,2015,림 브레이크,SHIMANO 105,카본
팔리 ,6200000,2016,림 브레이크,SHIMANO DURA-ACE,카본
메리다 ,2900000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본+알루미늄
피나렐로 ,6000000,2016,림 브레이크,SHIMANO DURA-ACE,카본
스페셜라이즈드 ,2200000,2018,림 브레이크,SHIMANO ULTEGRA,카본
스페셜라이즈드 ,600000,2020,림 브레이크,SHIMANO CLARIS,알루미늄
스페셜라이즈드 ,2700000,2016,림 브레이크,SHIMANO 105,카본
스캇 ,1380000,2015,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,750000,2021,림 브레이크,SHIMANO CLARIS,카본+알루미늄
비앙키 ,4200000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,5500000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1800000,2019,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,5500000,2019,디스크 브레이크,SRAM Force eTap AXS,카본
기타 ,7300000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
메리다 ,2500000,2021,디스크 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2600000,2021,디스크 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,10000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
팩터 ,9900000,2021,디스크 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,4700000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
자이언트 ,5000000,2018,림 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,4750000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
콜나고 ,2500000,2018,림 브레이크,SHIMANO ULTEGRA,카본
라피에르 ,2000000,2019,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,1050000,2021,디스크 브레이크,SHIMANO SORA,카본+알루미늄
서벨로 ,3800000,2020,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,900000,2021,디스크 브레이크,SHIMANO 105,카본
자이언트 ,4800000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
기타 ,500000,2017,림 브레이크,SHIMANO CLARIS,카본+알루미늄
위아위스 ,5300000,2021,디스크 브레이크,SRAM Force eTap AXS,카본
바쏘 ,4700000,2018,림 브레이크,SHIMANO ULTEGRA,카본
메리다 ,1290000,2016,림 브레이크,SHIMANO 105,카본
후지 ,750000,2015,림 브레이크,SHIMANO 105,카본
메리다 ,770000,2021,림 브레이크,SHIMANO CLARIS,알루미늄
라피에르 ,1600000,2019,림 브레이크,SHIMANO ULTEGRA,카본
엘파마 ,2500000,2015,림 브레이크,SHIMANO ULTEGRA,카본
기타 ,3400000,2019,림 브레이크,SHIMANO ULTEGRA,카본
트렉 ,6300000,2019,디스크 브레이크,SRAM Force eTap AXS,카본
자이언트 ,1600000,2020,림 브레이크,SHIMANO 105,카본
자이언트 ,6000000,2019,림 브레이크,SHIMANO DURA-ACE,카본
자이언트 ,2500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
트렉 ,4000000,2018,림 브레이크,SHIMANO ULTEGRA,카본
후지 ,1300000,2013,림 브레이크,SHIMANO 105,카본+알루미늄
캐논데일 ,6500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,6400000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
트리곤 ,1300000,2017,림 브레이크,SHIMANO 105,카본
트렉 ,2300000,2020,디스크 브레이크,SHIMANO 105,카본
라피에르 ,2200000,2020,디스크 브레이크,SHIMANO ULTEGRA,카본+알루미늄
스캇 ,3300000,2019,림 브레이크,SHIMANO DURA-ACE,카본
기타 ,10000000,2020,디스크 브레이크,SRAM RED eTap AXS,카본
자이언트 ,2650000,2021,디스크 브레이크,SHIMANO 105,카본
큐브 ,6000000,2020,디스크 브레이크,SRAM Force eTap AXS,카본
기타 ,1200000,2020,디스크 브레이크,SHIMANO 105,카본
자이언트 ,3000000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
서벨로 ,9500000,2021,디스크 브레이크,SHIMANO ULTEGRA,카본
비엠씨 ,2500000,2021,디스크 브레이크,SHIMANO 105,카본
스페셜라이즈드 ,2400000,2018,림 브레이크,SHIMANO ULTEGRA,카본
첼로 ,1000000,2017,림 브레이크,SHIMANO 105,카본
